KIDEN	Numéro de la plaque	Type de rayonnement	Dose de rayonnement	Filtre de protection	Poids	Couleur	Ternissement	Craquelure	Epaississement	Rides	Total du score aspect	Sèchage	Taux de Chromo-A	Réplique à T4	Taux de Chromo-B	Taux de Chromo-C	Surface rigidité	Surface concavité	Surface diamétralité	Score surface total	Elasticité interne	Cohérence interne	Coloration interne	Gonflement interne	Score total interne	Total Surface+Interne	Périodes	Type de rayonnement	Type de rayonnement * dose	Groupes	Filtre * Dose	Type de rayonnement * Périodes	Dose de rayonnement * Périodes	Filtre de protection * Périodes	Type de rayonnement * dose * Périodes	Groupes * Périodes
 214	53.00	Rayon V100	Dose 1/2	Filtre C	26.00	1.00	1.00	2.00	2.00	1.00	7.00	6.90	1.00				2.00	3.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V100 * T1	D1/2 * T1	fC * T1	V1/2 * T1	V1/2C * T1
 215	58.00	Rayon V100	Dose 1/2	Filtre C	26.00	1.00	1.00	1.00	1.00	1.00	5.00	7.10	1.00				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V100 * T1	D1/2 * T1	fC * T1	V1/2 * T1	V1/2C * T1
 216	13.00	Rayon V250	Dose 1/2	Filtre C	27.00	1.00	1.00	2.00	2.00	1.00	7.00	7.40	0.90				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	7.00	14.00	Temps T1	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T1	D1/2 * T1	fC * T1	V1/2 * T1	V1/2C * T1
 217	24.00	Rayon V250	Dose 1/2	Filtre C	27.00	2.00	1.00	2.00	3.00	1.00	9.00	9.90	1.10				2.00	4.00	1.00	7.00	1.00	1.00	1.00	1.50	4.50	11.50	Temps T1	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T1	D1/2 * T1	fC * T1	V1/2 * T1	V1/2C * T1
 218	25.00	Rayon V250	Dose 1/2	Filtre C	29.00	2.00	1.00	3.00	2.00	1.00	9.00	9.60	1.00				2.00	5.00	1.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T1	D1/2 * T1	fC * T1	V1/2 * T1	V1/2C * T1
 219	34.00	Rayon V250	Dose 1/2	Filtre C	24.00	1.00	1.00	1.00	2.00	1.00	6.00	8.10	1.00				1.00	4.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T1	D1/2 * T1	fC * T1	V1/2 * T1	V1/2C * T1
 220	67.00	Rayon V250	Dose 1/2	Filtre C	26.00	1.00	1.00	2.00	2.00	1.00	7.00	8.40	1.00				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T1	D1/2 * T1	fC * T1	V1/2 * T1	V1/2C * T1
 221	70.00	Rayon V250	Dose 1/2	Filtre C	27.00	1.00	1.00	1.00	2.00	1.00	6.00	5.20	0.90				3.00	4.00	1.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon V	Rayon V 1/2	Rayon V. 1/2 filC	Filtre C 1/2 Med	V250 * T1	D1/2 * T1	fC * T1	V1/2 * T1	V1/2C * T1
 222	1.00	Rayon V100	Dose 2	Filtre A	29.00	1.00	1.00	1.00	1.00	1.00	5.00	4.60	1.00				1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 223	2.00	Rayon V100	Dose 2	Filtre A	30.00	2.00	1.00	1.00	2.00	1.00	7.00	4.20	0.90				1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 224	12.00	Rayon V100	Dose 2	Filtre A	25.00	2.00	4.00	2.00	3.00	1.00	12.00	8.50	1.00				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 225	14.00	Rayon V100	Dose 2	Filtre A	23.00	1.00	1.00	2.00	2.00	1.00	7.00	7.30	0.80				1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 226	40.00	Rayon V100	Dose 2	Filtre A	27.00	2.00	1.00	1.00	1.00	1.00	6.00	8.20	1.00				1.00	2.00	1.00	4.00	1.00	1.00	1.00	2.00	5.00	9.00	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 227	62.00	Rayon V100	Dose 2	Filtre A	27.00	1.00	1.00	2.00	1.00	1.00	6.00	5.10	0.90				1.00	1.00	1.00	3.00	1.00	1.00	1.00	1.50	4.50	7.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V100 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 228	29.00	Rayon V250	Dose 2	Filtre A	22.00	2.00	1.00	1.00	2.00	1.00	7.00	8.00	0.80				1.00	1.00	1.00	4.00	1.00	1.00	1.00	2.00	5.00	9.00	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 229	35.00	Rayon V250	Dose 2	Filtre A	28.00	2.00	2.00	3.00	2.00	1.00	10.00	9.20	1.10				1.00	1.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 230	46.00	Rayon V250	Dose 2	Filtre A	26.00	1.00	1.00	2.00	2.00	1.00	7.00	7.40	1.00				1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 231	47.00	Rayon V250	Dose 2	Filtre A	23.00	1.00	3.00	2.00	2.00	1.00	9.00	8.70	1.00				2.00	2.00	1.00	7.00	1.00	1.00	1.00	1.50	4.50	11.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 232	48.00	Rayon V250	Dose 2	Filtre A	24.00	1.00	1.00	1.00	1.00	1.00	5.00	6.90	0.90				2.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 233	64.00	Rayon V250	Dose 2	Filtre A	27.00	2.00	2.00	3.00	2.00	1.00	10.00	6.40	1.00				1.00	1.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T1	Rayon V	Rayon V 2	Rayon V. 2   filA	Filtre A 2 Med	V250 * T1	D2 * T1	fA * T1	V2 * T1	V2A * T1
 234	105.00	Rayon W80	Dose 1/2	Non protégé	25.00	1.00	1.00	1.00	2.00	1.00	6.00	7.30	1.00				1.00	2.00	1.00	4.00	1.00	1.00	1.00	1.50	4.50	8.50	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 235	110.00	Rayon W80	Dose 1/2	Non protégé	25.00	1.00	1.00	1.00	1.00	1.00	5.00	8.30	1.00				2.00	2.00	1.00	5.00	1.00	1.00	1.00	2.00	5.00	10.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 236	123.00	Rayon W80	Dose 1/2	Non protégé	25.00	1.00	1.00	1.00	2.00	1.00	6.00	7.10	1.00				2.00	2.00	1.00	5.00	1.00	3.00	1.00	2.00	7.00	12.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 237	126.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	2.00	1.00	6.00	4.50	1.10				2.00	2.00	1.00	5.00	1.00	1.00	1.00	2.00	5.00	10.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 238	129.00	Rayon W80	Dose 1/2	Non protégé	27.00	1.00	1.00	1.00	2.00	1.00	6.00	8.80	1.00				2.00	2.00	1.00	5.00	1.00	3.00	1.00	2.00	7.00	12.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 239	130.00	Rayon W80	Dose 1/2	Non protégé	25.00	1.00	1.00	1.00	2.00	1.00	6.00	7.20	1.00				1.00	2.00	1.00	4.00	1.00	1.00	1.00	2.00	5.00	9.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 240	131.00	Rayon W80	Dose 1/2	Non protégé	25.00	2.00	1.00	1.00	2.00	1.00	7.00	8.10	0.90				1.00	2.00	1.00	4.00	1.00	1.00	1.00	2.00	5.00	9.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 241	132.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	2.00	1.00	6.00	9.20	1.00														Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 242	133.00	Rayon W80	Dose 1/2	Non protégé	27.00	1.00	1.00	1.00	2.00	1.00	6.00	6.30	1.00				2.00	2.00	1.00	5.00	1.00	1.00	1.00	2.00	5.00	10.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 243	136.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	2.00	1.00	6.00	6.10	1.00				2.00	2.00	1.00	5.00	1.00	1.00	1.00	2.00	5.00	10.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 244	139.00	Rayon W80	Dose 1/2	Non protégé	28.00	1.00	1.00	1.00	2.00	1.00	6.00	6.30	1.00				1.00	2.00	1.00	4.00	1.00	1.00	1.00	2.00	5.00	9.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 245	140.00	Rayon W80	Dose 1/2	Non protégé	26.00	1.00	1.00	1.00	2.00	1.00	6.00	5.90	0.90				1.00	2.00	1.00	4.00	1.00	3.00	1.00	2.00	7.00	11.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 246	148.00	Rayon W80	Dose 1/2	Non protégé	27.00	1.00	1.00	1.00	2.00	1.00	6.00	5.90	1.00				2.00	2.00	1.00	5.00	1.00	1.00	1.00	2.00	5.00	10.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 247	161.00	Rayon W80	Dose 1/2	Non protégé	24.00	1.00	1.00	1.00	2.00	1.00	6.00	8.20	0.80				2.00	3.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 248	169.00	Rayon W80	Dose 1/2	Non protégé	26.00	1.00	1.00	1.00	2.00	1.00	6.00	6.40	0.90				1.00	2.00	1.00	4.00	2.00	3.00	1.00	2.00	8.00	12.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 249	174.00	Rayon W80	Dose 1/2	Non protégé	28.00	2.00	1.00	1.00	2.00	1.00	7.00	6.80	0.90				2.00	2.00	1.00	5.00	1.00	1.00	1.00	2.00	5.00	10.00	Temps T1	Rayon W	Rayon W 1/2	W. 1/2 non protégé	Non traité 1/2 Med	W80 * T1	D1/2 * T1	Non  * T1	W1/2 * T1	W1/2np * T1
 250	111.00	Rayon W80	Dose 1/2	Filtre A	29.00	1.00	1.00	1.00	2.00	1.00	6.00	7.60	0.90				2.00	3.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 251	113.00	Rayon W80	Dose 1/2	Filtre A	27.00	1.00	1.00	2.00	2.00	1.00	7.00	10.30	1.00				3.00	3.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 252	124.00	Rayon W80	Dose 1/2	Filtre A	28.00	1.00	2.00	2.00	2.00	1.00	8.00	4.80	1.00				3.00	5.00	2.00	10.00	1.00	1.00	1.00	2.00	5.00	15.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 253	125.00	Rayon W80	Dose 1/2	Filtre A	29.00	1.00	1.00	2.00	2.00	1.00	7.00	11.20	1.00				2.00	5.00	1.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 254	128.00	Rayon W80	Dose 1/2	Filtre A	26.00	1.00	1.00	2.00	2.00	1.00	7.00	6.60	1.00				2.00	3.00	2.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 255	137.00	Rayon W80	Dose 1/2	Filtre A	24.00	1.00	1.00	2.00	2.00	1.00	7.00	8.70	1.20				2.00	3.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 256	145.00	Rayon W80	Dose 1/2	Filtre A	27.00	1.00	1.00	1.00	2.00	1.00	6.00	9.50	1.00				2.00	2.00	1.00	5.00	1.00	1.00	1.00	2.00	5.00	10.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 257	146.00	Rayon W80	Dose 1/2	Filtre A	25.00	1.00	1.00	2.00	2.00	1.00	7.00	6.20	1.00				3.00	3.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 258	151.00	Rayon W80	Dose 1/2	Filtre A	28.00	1.00	1.00	2.00	2.00	1.00	7.00	6.10	1.00				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 259	152.00	Rayon W80	Dose 1/2	Filtre A	27.00	1.00	1.00	1.00	2.00	1.00	6.00	10.60	1.10				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 260	153.00	Rayon W80	Dose 1/2	Filtre A	28.00	1.00	1.00	1.00	1.00	1.00	5.00	5.00	0.80				2.00	3.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 261	154.00	Rayon W80	Dose 1/2	Filtre A	29.00	1.00	1.00	1.00	1.00	1.00	5.00	8.50	1.00				2.00	3.00	1.50	6.50	1.00	1.00	1.00	2.00	5.00	11.50	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 262	157.00	Rayon W80	Dose 1/2	Filtre A	28.00	1.00	1.00	1.00	2.00	1.00	6.00	5.90	1.00				2.00	2.00	1.00	5.00	1.00	1.00	1.00	2.00	5.00	10.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 263	159.00	Rayon W80	Dose 1/2	Filtre A	27.00	1.00	1.00	1.00	2.00	1.00	6.00	6.10	1.00				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 264	163.00	Rayon W80	Dose 1/2	Filtre A	29.00	1.00	1.00	2.00	1.00	1.00	6.00	8.30	0.80				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 265	167.00	Rayon W80	Dose 1/2	Filtre A	27.00	1.00	1.00	2.00	2.00	1.00	7.00	7.00	0.80				2.00	5.00	1.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filA	Filtre A 1/2 Med	W80 * T1	D1/2 * T1	fA * T1	W1/2 * T1	W1/2A * T1
 266	102.00	Rayon W80	Dose 1/2	Filtre B	25.00	2.00	3.00	3.00	2.00	2.00	12.00	14.50	1.00				2.00	5.00	2.00	9.00	1.00	1.00	1.00	2.00	5.00	14.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 267	106.00	Rayon W80	Dose 1/2	Filtre B	26.00	1.00	3.00	4.00	2.00	2.00	12.00	25.10	1.40				2.00	5.00	2.00	9.00	1.00	1.00	1.00	2.00	5.00	14.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 268	109.00	Rayon W80	Dose 1/2	Filtre B	25.00	1.00	3.00	4.00	3.00	3.00	14.00	15.40	1.40				2.00	4.00	2.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 269	112.00	Rayon W80	Dose 1/2	Filtre B	27.00	1.00	2.00	3.00	2.00	2.00	10.00	10.30	1.20				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 270	118.00	Rayon W80	Dose 1/2	Filtre B	28.00	2.00	1.00	2.00	3.00	2.00	10.00	7.00	1.20				2.00	3.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 271	121.00	Rayon W80	Dose 1/2	Filtre B	27.00	1.00	2.00	4.00	3.00	3.00	13.00	17.00	1.20				2.00	4.00	1.50	7.50	1.00	1.00	1.00	2.00	5.00	12.50	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 272	127.00	Rayon W80	Dose 1/2	Filtre B	32.00	1.00	3.00	3.00	3.00	2.00	12.00	21.50	1.00				2.00	4.00	1.50	7.50	1.00	1.00	1.00	2.00	5.00	12.50	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 273	138.00	Rayon W80	Dose 1/2	Filtre B	28.00	1.00	1.00	2.00	2.00	1.00	7.00	9.50	1.20				2.00	3.00	1.00	6.00	1.00	1.00	1.00	1.50	4.50	10.50	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 274	141.00	Rayon W80	Dose 1/2	Filtre B	27.00	2.00	1.00	3.00	2.00	2.00	10.00	16.90	1.10				2.00	5.00	1.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 275	144.00	Rayon W80	Dose 1/2	Filtre B	28.00	1.00	1.00	2.00	2.00	1.00	7.00	14.70	1.20				3.00	4.00	1.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 276	149.00	Rayon W80	Dose 1/2	Filtre B	24.00	1.00	2.00	3.00	3.00	2.00	11.00	12.20	1.20				2.00	5.00	1.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 277	150.00	Rayon W80	Dose 1/2	Filtre B	27.00	1.00	2.00	3.00	2.00	3.00	11.00	28.20	1.40				2.00	4.00	2.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 278	158.00	Rayon W80	Dose 1/2	Filtre B	28.00	2.00	2.00	2.00	3.00	2.00	11.00	15.80	1.10				2.00	5.00	1.00	8.00	1.00	1.00	1.00	2.00	5.00	13.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 279	166.00	Rayon W80	Dose 1/2	Filtre B	24.00	1.00	1.00	2.00	2.00	2.00	8.00	20.20	1.00				2.00	4.00	1.00	7.00	1.00	1.00	1.00	2.00	5.00	12.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 280	168.00	Rayon W80	Dose 1/2	Filtre B	30.00	1.00	1.00	1.00	2.00	1.00	6.00	8.70	1.20				3.00	5.00	2.00	10.00	1.00	1.00	1.00	2.00	5.00	15.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 281	171.00	Rayon W80	Dose 1/2	Filtre B	26.00	1.00	1.00	2.00	1.00	1.00	6.00	10.80	1.00				2.00	5.00	2.00	9.00	1.00	1.00	1.00	2.00	5.00	14.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filB	Filtre B 1/2 Med	W80 * T1	D1/2 * T1	fB * T1	W1/2 * T1	W1/2B * T1
 282	101.00	Rayon W80	Dose 1/2	Filtre C	25.00	1.00	1.00	3.00	2.00	1.00	8.00	6.50	1.10				3.00	3.00	1.00	7.00	1.00	3.00	1.00	2.00	7.00	14.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T1	D1/2 * T1	fC * T1	W1/2 * T1	W1/2C * T1
 283	103.00	Rayon W80	Dose 1/2	Filtre C	28.00	2.00	1.00	1.00	2.00	1.00	7.00	6.30	1.20				2.00	3.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T1	D1/2 * T1	fC * T1	W1/2 * T1	W1/2C * T1
 284	107.00	Rayon W80	Dose 1/2	Filtre C	24.00	2.00	1.00	1.00	1.00	1.00	7.00	7.80	0.80				2.00	3.00	1.00	6.00	1.00	1.00	1.00	2.00	5.00	11.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T1	D1/2 * T1	fC * T1	W1/2 * T1	W1/2C * T1
 285	115.00	Rayon W80	Dose 1/2	Filtre C	25.00	1.00	1.00	1.00	2.00	1.00	6.00	9.40	1.00				2.00	3.00	1.00	6.00	4.00	1.00	1.00	2.00	8.00	14.00	Temps T1	Rayon W	Rayon W 1/2	Rayon W. 1/2  filC	Filtre C 1/2 Med	W80 * T1	D1/2 * T1	fC * T1	W1/2 * T1	W1/2C * T1
